State/UT,Year,Gender,MaxAge,MinAge,Crimes,#Cases
Andaman & Nicobar Islands,2001,F,100,51,Rape,1
Andaman & Nicobar Islands,2002,F,100,51,Rape,2
Andaman & Nicobar Islands,2003,F,100,51,Rape,3
Andaman & Nicobar Islands,2004,F,100,51,Rape,3
Andaman & Nicobar Islands,2005,F,100,51,Rape,5
Andaman & Nicobar Islands,2006,F,100,51,Rape,3
Andaman & Nicobar Islands,2007,F,100,51,Rape,4
Andaman & Nicobar Islands,2008,F,100,51,Rape,3
Andaman & Nicobar Islands,2009,F,100,51,Rape,4
Andaman & Nicobar Islands,2010,F,100,51,Rape,5
Andhra Pradesh,2001,F,100,51,Rape,24
Andhra Pradesh,2002,F,100,51,Rape,20
Andhra Pradesh,2003,F,100,51,Rape,18
Andhra Pradesh,2004,F,100,51,Rape,19
Andhra Pradesh,2005,F,100,51,Rape,23
Andhra Pradesh,2006,F,100,51,Rape,21
Andhra Pradesh,2007,F,100,51,Rape,18
Andhra Pradesh,2008,F,100,51,Rape,22
Andhra Pradesh,2009,F,100,51,Rape,25
Andhra Pradesh,2010,F,100,51,Rape,23
Arunachal Pradesh,2001,F,100,51,Rape,12
Arunachal Pradesh,2002,F,100,51,Rape,14
Arunachal Pradesh,2003,F,100,51,Rape,16
Arunachal Pradesh,2004,F,100,51,Rape,17
Arunachal Pradesh,2005,F,100,51,Rape,20
Arunachal Pradesh,2006,F,100,51,Rape,21
Arunachal Pradesh,2007,F,100,51,Rape,23
Arunachal Pradesh,2008,F,100,51,Rape,22
Arunachal Pradesh,2009,F,100,51,Rape,24
Arunachal Pradesh,2010,F,100,51,Rape,23
Assam,2001,F,100,51,Rape,4
Assam,2002,F,100,51,Rape,5
Assam,2003,F,100,51,Rape,6
Assam,2004,F,100,51,Rape,8
Assam,2005,F,100,51,Rape,10
Assam,2006,F,100,51,Rape,7
Assam,2007,F,100,51,Rape,9
Assam,2008,F,100,51,Rape,6
Assam,2009,F,100,51,Rape,8
Assam,2010,F,100,51,Rape,7
Bihar,2001,F,100,51,Rape,18
Bihar,2002,F,100,51,Rape,16
Bihar,2003,F,100,51,Rape,14
Bihar,2004,F,100,51,Rape,14
Bihar,2005,F,100,51,Rape,16
Bihar,2006,F,100,51,Rape,18
Bihar,2007,F,100,51,Rape,20
Bihar,2008,F,100,51,Rape,22
Bihar,2009,F,100,51,Rape,24
Bihar,2010,F,100,51,Rape,26
Chandigarh,2001,F,100,51,Rape,33
Chandigarh,2002,F,100,51,Rape,36
Chandigarh,2003,F,100,51,Rape,39
Chandigarh,2004,F,100,51,Rape,42
Chandigarh,2005,F,100,51,Rape,44
Chandigarh,2006,F,100,51,Rape,47
Chandigarh,2007,F,100,51,Rape,46
Chandigarh,2008,F,100,51,Rape,45
Chandigarh,2009,F,100,51,Rape,48
Chandigarh,2010,F,100,51,Rape,45
Chhattisgarh,2001,F,100,51,Rape,12
Chhattisgarh,2002,F,100,51,Rape,14
Chhattisgarh,2003,F,100,51,Rape,13
Chhattisgarh,2004,F,100,51,Rape,16
Chhattisgarh,2005,F,100,51,Rape,17
Chhattisgarh,2006,F,100,51,Rape,19
Chhattisgarh,2007,F,100,51,Rape,21
Chhattisgarh,2008,F,100,51,Rape,22
Chhattisgarh,2009,F,100,51,Rape,20
Chhattisgarh,2010,F,100,51,Rape,18
Dadra & Nagar Haveli,2001,F,100,51,Rape,31
Dadra & Nagar Haveli,2002,F,100,51,Rape,30
Dadra & Nagar Haveli,2003,F,100,51,Rape,29
Dadra & Nagar Haveli,2004,F,100,51,Rape,28
Dadra & Nagar Haveli,2005,F,100,51,Rape,26
Dadra & Nagar Haveli,2006,F,100,51,Rape,25
Dadra & Nagar Haveli,2007,F,100,51,Rape,24
Dadra & Nagar Haveli,2008,F,100,51,Rape,23
Dadra & Nagar Haveli,2009,F,100,51,Rape,22
Dadra & Nagar Haveli,2010,F,100,51,Rape,21
Daman & Diu,2001,F,100,51,Rape,20
Daman & Diu,2002,F,100,51,Rape,19
Daman & Diu,2003,F,100,51,Rape,17
Daman & Diu,2004,F,100,51,Rape,16
Daman & Diu,2005,F,100,51,Rape,15
Daman & Diu,2006,F,100,51,Rape,14
Daman & Diu,2007,F,100,51,Rape,13
Daman & Diu,2008,F,100,51,Rape,12
Daman & Diu,2009,F,100,51,Rape,11
Daman & Diu,2010,F,100,51,Rape,10
Delhi,2001,F,100,51,Rape,8
Delhi,2002,F,100,51,Rape,7
Delhi,2003,F,100,51,Rape,6
Delhi,2004,F,100,51,Rape,5
Delhi,2005,F,100,51,Rape,4
Delhi,2006,F,100,51,Rape,4
Delhi,2007,F,100,51,Rape,2
Delhi,2008,F,100,51,Rape,12
Delhi,2009,F,100,51,Rape,2
Delhi,2010,F,100,51,Rape,2
Goa,2001,F,100,51,Rape,2
Goa,2002,F,100,51,Rape,2
Goa,2003,F,100,51,Rape,2
Goa,2004,F,100,51,Rape,2
Goa,2005,F,100,51,Rape,2
Goa,2006,F,100,51,Rape,2
Goa,2007,F,100,51,Rape,3
Goa,2008,F,100,51,Rape,4
Goa,2009,F,100,51,Rape,4
Goa,2010,F,100,51,Rape,4
Gujarat,2001,F,100,51,Rape,4
Gujarat,2002,F,100,51,Rape,4
Gujarat,2003,F,100,51,Rape,4
Gujarat,2004,F,100,51,Rape,4
Gujarat,2005,F,100,51,Rape,3
Gujarat,2006,F,100,51,Rape,2
Gujarat,2007,F,100,51,Rape,2
Gujarat,2008,F,100,51,Rape,2
Gujarat,2009,F,100,51,Rape,2
Gujarat,2010,F,100,51,Rape,4
Haryana,2001,F,100,51,Rape,6
Haryana,2002,F,100,51,Rape,2
Haryana,2003,F,100,51,Rape,5
Haryana,2004,F,100,51,Rape,9
Haryana,2005,F,100,51,Rape,12
Haryana,2006,F,100,51,Rape,10
Haryana,2007,F,100,51,Rape,6
Haryana,2008,F,100,51,Rape,10
Haryana,2009,F,100,51,Rape,6
Haryana,2010,F,100,51,Rape,10
Himachal Pradesh,2001,F,100,51,Rape,4
Himachal Pradesh,2002,F,100,51,Rape,8
Himachal Pradesh,2003,F,100,51,Rape,9
Himachal Pradesh,2004,F,100,51,Rape,10
Himachal Pradesh,2005,F,100,51,Rape,4
Himachal Pradesh,2006,F,100,51,Rape,2
Himachal Pradesh,2007,F,100,51,Rape,4
Himachal Pradesh,2008,F,100,51,Rape,2
Himachal Pradesh,2009,F,100,51,Rape,2
Himachal Pradesh,2010,F,100,51,Rape,2
Jammu & Kashmir,2001,F,100,51,Rape,2
Jammu & Kashmir,2002,F,100,51,Rape,2
Jammu & Kashmir,2003,F,100,51,Rape,3
Jammu & Kashmir,2004,F,100,51,Rape,3
Jammu & Kashmir,2005,F,100,51,Rape,4
Jammu & Kashmir,2006,F,100,51,Rape,2
Jammu & Kashmir,2007,F,100,51,Rape,3
Jammu & Kashmir,2008,F,100,51,Rape,3
Jammu & Kashmir,2009,F,100,51,Rape,4
Jammu & Kashmir,2010,F,100,51,Rape,4
Jharkhand,2001,F,100,51,Rape,3
Jharkhand,2002,F,100,51,Rape,3
Jharkhand,2003,F,100,51,Rape,3
Jharkhand,2004,F,100,51,Rape,2
Jharkhand,2005,F,100,51,Rape,2
Jharkhand,2006,F,100,51,Rape,4
Jharkhand,2007,F,100,51,Rape,10
Jharkhand,2008,F,100,51,Rape,4
Jharkhand,2009,F,100,51,Rape,4
Jharkhand,2010,F,100,51,Rape,3
Karnataka,2001,F,100,51,Rape,2
Karnataka,2002,F,100,51,Rape,2
Karnataka,2003,F,100,51,Rape,32
Karnataka,2004,F,100,51,Rape,23
Karnataka,2005,F,100,51,Rape,13
Karnataka,2006,F,100,51,Rape,4
Karnataka,2007,F,100,51,Rape,14
Karnataka,2008,F,100,51,Rape,2
Karnataka,2009,F,100,51,Rape,8
Karnataka,2010,F,100,51,Rape,6
Kerala,2001,F,100,51,Rape,2
Kerala,2002,F,100,51,Rape,6
Kerala,2003,F,100,51,Rape,4
Kerala,2004,F,100,51,Rape,12
Kerala,2005,F,100,51,Rape,16
Kerala,2006,F,100,51,Rape,14
Kerala,2007,F,100,51,Rape,10
Kerala,2008,F,100,51,Rape,12
Kerala,2009,F,100,51,Rape,20
Kerala,2010,F,100,51,Rape,24
Lakshadweep,2001,F,100,51,Rape,27
Lakshadweep,2002,F,100,51,Rape,29
Lakshadweep,2003,F,100,51,Rape,32
Lakshadweep,2004,F,100,51,Rape,35
Lakshadweep,2005,F,100,51,Rape,38
Lakshadweep,2006,F,100,51,Rape,40
Lakshadweep,2007,F,100,51,Rape,43
Lakshadweep,2008,F,100,51,Rape,46
Lakshadweep,2009,F,100,51,Rape,49
Lakshadweep,2010,F,100,51,Rape,51
Madhya Pradesh,2001,F,100,51,Rape,54
Madhya Pradesh,2002,F,100,51,Rape,28
Madhya Pradesh,2003,F,100,51,Rape,14
Madhya Pradesh,2004,F,100,51,Rape,28
Madhya Pradesh,2005,F,100,51,Rape,52
Madhya Pradesh,2006,F,100,51,Rape,14
Madhya Pradesh,2007,F,100,51,Rape,86
Madhya Pradesh,2008,F,100,51,Rape,40
Madhya Pradesh,2009,F,100,51,Rape,22
Madhya Pradesh,2010,F,100,51,Rape,24
Maharashtra,2001,F,100,51,Rape,8
Maharashtra,2002,F,100,51,Rape,14
Maharashtra,2003,F,100,51,Rape,8
Maharashtra,2004,F,100,51,Rape,10
Maharashtra,2005,F,100,51,Rape,4
Maharashtra,2006,F,100,51,Rape,8
Maharashtra,2007,F,100,51,Rape,26
Maharashtra,2008,F,100,51,Rape,10
Maharashtra,2009,F,100,51,Rape,16
Maharashtra,2010,F,100,51,Rape,22
Manipur,2001,F,100,51,Rape,2
Manipur,2002,F,100,51,Rape,2
